,key
0,building
1,source
2,highway
3,addr:housenumber
4,addr:street
5,addr:city
6,name
7,addr:postcode
8,natural
9,surface
10,landuse
11,addr:country
12,power
13,source:date
14,building:levels
15,waterway
16,amenity
17,service
18,barrier
19,oneway
20,height
21,access
22,addr:state
23,ref
24,maxspeed
25,start_date
26,lanes
27,tiger:cfcc
28,tiger:county
29,wall
30,layer
31,tiger:reviewed
32,type
33,ref:bag
34,source:addr
35,addr:place
36,operator
37,lit
38,tracktype
39,tiger:name_base
40,leisure
41,place
42,addr:suburb
43,ele
44,crossing
45,tiger:name_type
46,bicycle
47,railway
48,foot
49,created_by
50,footway
51,source:geometry
52,man_made
53,bridge
54,roof:shape
55,addr:province
56,leaf_type
57,source:geometry:date
58,addr:district
59,name:en
60,shop
61,intermittent
62,public_transport
63,addr:city:simc
64,attribution
65,nysgissam:nysaddresspointid
66,tiger:zip_left
67,tunnel
68,ref:bygningsnr
69,water
70,addr:conscriptionnumber
71,tiger:zip_right
72,note
73,ref:ruian:building
74,building:ruian:type
75,bus
76,smoothness
77,leaf_cycle
78,import
79,entrance
80,sidewalk
81,lacounty:bld_id
82,lacounty:ain
83,tourism
84,website
85,material
86,addr:municipality
87,opening_hours
88,tiger:tlid
89,tiger:source
90,roof:levels
91,width
92,building:units
93,wikidata
94,addr:subdistrict
95,addr:district:en
96,osak:identifier
97,network
98,addr:province:en
99,source_ref
100,gauge
101,parking
102,building:part
103,voltage
104,wheelchair
105,direction
106,sport
107,ref:ruian:addr
108,tiger:upload_uuid
109,yh:WIDTH
110,description
111,addr:interpolation
112,phone
113,addr:street:en
114,boundary
115,electrified
116,building:flats
117,emergency
118,tactile_paving
119,ref:linz:address_id
120,addr:subdistrict:en
121,NHD:FCode
122,alt_name
123,brand
124,source:maxspeed
125,denotation
126,generator:source
127,NHD:ComID
128,motor_vehicle
129,golf
130,building:material
131,NHD:ReachCode
132,generator:method
133,admin_level
134,capacity
135,tiger:separated
136,area
137,wetland
138,restriction
139,frequency
140,brand:wikidata
141,fixme
142,addr:unit
143,generator:type
144,wikipedia
145,yh:STRUCTURE
146,yh:TYPE
147,addr:street:sym_ul
148,addr:hamlet
149,source:geometry:ref
150,NHD:RESOLUTION
151,historic
152,yh:TOTYUMONO
153,yh:WIDTH_RANK
154,religion
155,generator:output:electricity
156,addr:neighbourhood
157,horse
158,roof:colour
159,name:ru
160,fire_hydrant:type
161,usage
162,operator:wikidata
163,roof:material
164,location
165,shelter
166,noexit
167,source:name
168,NHD:way_id
169,NHD:FType
170,species
171,tiger:name_direction_prefix
172,fee
173,nhd:reach_code
174,brand:wikipedia
175,tiger:name_base_1
176,covered
177,nhd:com_id
178,survey:date
179,level
180,segregated
181,addr:TW:dataset
182,backrest
183,name:zh
184,design
185,addr:housename
186,mml:class
187,gnis:feature_id
188,at_bev:addr_date
189,bench
190,cuisine
191,raba:id
192,addr:streetnumber
193,nycdoitt:bin
194,nhd:fdate
195,crossing_ref
196,gnis:fcode
197,incline
198,source:position
199,postal_code
200,name:ar
201,route
202,traffic_sign
203,traffic_calming
204,ford
205,office
206,gnis:ftype
207,name:ja
